Algorithm,Type,Array,Size,Time
BubbleSortPassPerItem,Integer,random,10,1465.755
BubbleSortPassPerItem,Integer,sorted,10,739.457
BubbleSortPassPerItem,Integer,reverse,10,1176.071
BubbleSortUntilNoChange,Integer,random,10,938.737
BubbleSortUntilNoChange,Integer,sorted,10,83.26
BubbleSortUntilNoChange,Integer,reverse,10,1173.288
BubbleSortWhileNeeded,Integer,random,10,599.355
BubbleSortWhileNeeded,Integer,sorted,10,83.828
BubbleSortWhileNeeded,Integer,reverse,10,819.581
BubbleSortPassPerItem,Integer,random,100,36517.555
BubbleSortPassPerItem,Integer,sorted,100,16601.046
BubbleSortPassPerItem,Integer,reverse,100,31763.582
BubbleSortUntilNoChange,Integer,random,100,37349.461
BubbleSortUntilNoChange,Integer,sorted,100,211.618
BubbleSortUntilNoChange,Integer,reverse,100,34391.223
BubbleSortWhileNeeded,Integer,random,100,15767.562
BubbleSortWhileNeeded,Integer,sorted,100,200.808
BubbleSortWhileNeeded,Integer,reverse,100,22118.599
BubbleSortPassPerItem,Integer,random,1000,3654697.061
BubbleSortPassPerItem,Integer,sorted,1000,2233424.444
BubbleSortPassPerItem,Integer,reverse,1000,3233984.992
BubbleSortUntilNoChange,Integer,random,1000,3749978.775
BubbleSortUntilNoChange,Integer,sorted,1000,2120.002
BubbleSortUntilNoChange,Integer,reverse,1000,3439028.809
BubbleSortWhileNeeded,Integer,random,1000,2610093.82
BubbleSortWhileNeeded,Integer,sorted,1000,1044.516
BubbleSortWhileNeeded,Integer,reverse,1000,2354168.638
BubbleSortPassPerItem,Integer,random,10000,3.16193825438E8
BubbleSortPassPerItem,Integer,sorted,10000,1.71580158601E8
BubbleSortPassPerItem,Integer,reverse,10000,3.07090906209E8
BubbleSortUntilNoChange,Integer,random,10000,3.48346336946E8
BubbleSortUntilNoChange,Integer,sorted,10000,20139.247
BubbleSortUntilNoChange,Integer,reverse,10000,3.37748399136E8
BubbleSortWhileNeeded,Integer,random,10000,2.39116415026E8
BubbleSortWhileNeeded,Integer,sorted,10000,21284.693
BubbleSortWhileNeeded,Integer,reverse,10000,2.27159258594E8
BubbleSortPassPerItem,Double,random,10,4440.445
BubbleSortPassPerItem,Double,sorted,10,3310.967
BubbleSortPassPerItem,Double,reverse,10,4100.036
BubbleSortUntilNoChange,Double,random,10,3381.74
BubbleSortUntilNoChange,Double,sorted,10,341.545
BubbleSortUntilNoChange,Double,reverse,10,2592.352
BubbleSortWhileNeeded,Double,random,10,2258.556
BubbleSortWhileNeeded,Double,sorted,10,370.857
BubbleSortWhileNeeded,Double,reverse,10,1255.642
BubbleSortPassPerItem,Double,random,100,29361.497
BubbleSortPassPerItem,Double,sorted,100,21545.614
BubbleSortPassPerItem,Double,reverse,100,35694.218
BubbleSortUntilNoChange,Double,random,100,34593.386
BubbleSortUntilNoChange,Double,sorted,100,291.896
BubbleSortUntilNoChange,Double,reverse,100,40575.841
BubbleSortWhileNeeded,Double,random,100,20483.987
BubbleSortWhileNeeded,Double,sorted,100,316.002
BubbleSortWhileNeeded,Double,reverse,100,25651.444
BubbleSortPassPerItem,Double,random,1000,3047023.642
BubbleSortPassPerItem,Double,sorted,1000,2130499.664
BubbleSortPassPerItem,Double,reverse,1000,3670590.739
BubbleSortUntilNoChange,Double,random,1000,3322903.187
BubbleSortUntilNoChange,Double,sorted,1000,2416.48
BubbleSortUntilNoChange,Double,reverse,1000,3805090.941
BubbleSortWhileNeeded,Double,random,1000,1973605.732
BubbleSortWhileNeeded,Double,sorted,1000,2037.973
BubbleSortWhileNeeded,Double,reverse,1000,2393988.72
BubbleSortPassPerItem,Double,random,10000,3.8184037732E8
BubbleSortPassPerItem,Double,sorted,10000,2.22360877591E8
BubbleSortPassPerItem,Double,reverse,10000,3.75829777123E8
BubbleSortUntilNoChange,Double,random,10000,4.42160421026E8
BubbleSortUntilNoChange,Double,sorted,10000,28624.304
BubbleSortUntilNoChange,Double,reverse,10000,4.0013372146E8
BubbleSortWhileNeeded,Double,random,10000,2.77053320094E8
BubbleSortWhileNeeded,Double,sorted,10000,18808.083
BubbleSortWhileNeeded,Double,reverse,10000,2.40872073746E8
BubbleSortPassPerItem,String,random,10,1275.651
BubbleSortPassPerItem,String,sorted,10,816.935
BubbleSortPassPerItem,String,reverse,10,1323.829
BubbleSortUntilNoChange,String,random,10,824.749
BubbleSortUntilNoChange,String,sorted,10,82.721
BubbleSortUntilNoChange,String,reverse,10,1290.003
BubbleSortWhileNeeded,String,random,10,724.025
BubbleSortWhileNeeded,String,sorted,10,137.469
BubbleSortWhileNeeded,String,reverse,10,764.933
BubbleSortPassPerItem,String,random,100,68113.548
BubbleSortPassPerItem,String,sorted,100,53923.964
BubbleSortPassPerItem,String,reverse,100,68072.754
BubbleSortUntilNoChange,String,random,100,66643.84
BubbleSortUntilNoChange,String,sorted,100,628.536
BubbleSortUntilNoChange,String,reverse,100,73618.077
BubbleSortWhileNeeded,String,random,100,41869.002
BubbleSortWhileNeeded,String,sorted,100,558.399
BubbleSortWhileNeeded,String,reverse,100,39121.958
BubbleSortPassPerItem,String,random,1000,8692404.712
BubbleSortPassPerItem,String,sorted,1000,7147101.661
BubbleSortPassPerItem,String,reverse,1000,7522115.675
BubbleSortUntilNoChange,String,random,1000,9377072.491
BubbleSortUntilNoChange,String,sorted,1000,7423.542
BubbleSortUntilNoChange,String,reverse,1000,7534629.52
BubbleSortWhileNeeded,String,random,1000,5164758.088
BubbleSortWhileNeeded,String,sorted,1000,6946.794
BubbleSortWhileNeeded,String,reverse,1000,3916797.229
BubbleSortPassPerItem,String,random,10000,1.308045634432E9
BubbleSortPassPerItem,String,sorted,10000,1.108897307663E9
BubbleSortPassPerItem,String,reverse,10000,9.03300498107E8
BubbleSortUntilNoChange,String,random,10000,1.253427856388E9
BubbleSortUntilNoChange,String,sorted,10000,118201.407
BubbleSortUntilNoChange,String,reverse,10000,9.44837962212E8
BubbleSortWhileNeeded,String,random,10000,6.53765620349E8
BubbleSortWhileNeeded,String,sorted,10000,118195.011
BubbleSortWhileNeeded,String,reverse,10000,4.34879199733E8
BubbleSortPassPerItem,DummySmallObject,random,10,611.191
BubbleSortPassPerItem,DummySmallObject,sorted,10,343.298
BubbleSortPassPerItem,DummySmallObject,reverse,10,403.179
BubbleSortUntilNoChange,DummySmallObject,random,10,402.45
BubbleSortUntilNoChange,DummySmallObject,sorted,10,49.353
BubbleSortUntilNoChange,DummySmallObject,reverse,10,574.482
BubbleSortWhileNeeded,DummySmallObject,random,10,217.315
BubbleSortWhileNeeded,DummySmallObject,sorted,10,65.632
BubbleSortWhileNeeded,DummySmallObject,reverse,10,399.132
BubbleSortPassPerItem,DummySmallObject,random,100,57304.491
BubbleSortPassPerItem,DummySmallObject,sorted,100,43665.227
BubbleSortPassPerItem,DummySmallObject,reverse,100,54257.548
BubbleSortUntilNoChange,DummySmallObject,random,100,65416.178
BubbleSortUntilNoChange,DummySmallObject,sorted,100,628.52
BubbleSortUntilNoChange,DummySmallObject,reverse,100,65864.205
BubbleSortWhileNeeded,DummySmallObject,random,100,38105.416
BubbleSortWhileNeeded,DummySmallObject,sorted,100,575.533
BubbleSortWhileNeeded,DummySmallObject,reverse,100,36560.673
BubbleSortPassPerItem,DummySmallObject,random,1000,5523889.252
BubbleSortPassPerItem,DummySmallObject,sorted,1000,4093294.755
BubbleSortPassPerItem,DummySmallObject,reverse,1000,4995739.488
BubbleSortUntilNoChange,DummySmallObject,random,1000,6982895.525
BubbleSortUntilNoChange,DummySmallObject,sorted,1000,5802.393
BubbleSortUntilNoChange,DummySmallObject,reverse,1000,6519596.866
BubbleSortWhileNeeded,DummySmallObject,random,1000,4109207.456
BubbleSortWhileNeeded,DummySmallObject,sorted,1000,5552.076
BubbleSortWhileNeeded,DummySmallObject,reverse,1000,3582244.416
BubbleSortPassPerItem,DummySmallObject,random,10000,5.33899417855E8
BubbleSortPassPerItem,DummySmallObject,sorted,10000,3.76914014871E8
BubbleSortPassPerItem,DummySmallObject,reverse,10000,4.94785192637E8
BubbleSortUntilNoChange,DummySmallObject,random,10000,6.82697004325E8
BubbleSortUntilNoChange,DummySmallObject,sorted,10000,57733.382
BubbleSortUntilNoChange,DummySmallObject,reverse,10000,6.5328261382E8
BubbleSortWhileNeeded,DummySmallObject,random,10000,4.02243204388E8
BubbleSortWhileNeeded,DummySmallObject,sorted,10000,52638.688
BubbleSortWhileNeeded,DummySmallObject,reverse,10000,3.56942969367E8
BubbleSortPassPerItem,DummyLargeObject,random,10,677.215
BubbleSortPassPerItem,DummyLargeObject,sorted,10,352.464
BubbleSortPassPerItem,DummyLargeObject,reverse,10,412.934
BubbleSortUntilNoChange,DummyLargeObject,random,10,441.562
BubbleSortUntilNoChange,DummyLargeObject,sorted,10,47.612
BubbleSortUntilNoChange,DummyLargeObject,reverse,10,515.347
BubbleSortWhileNeeded,DummyLargeObject,random,10,262.866
BubbleSortWhileNeeded,DummyLargeObject,sorted,10,46.969
BubbleSortWhileNeeded,DummyLargeObject,reverse,10,338.409
BubbleSortPassPerItem,DummyLargeObject,random,100,65221.253
BubbleSortPassPerItem,DummyLargeObject,sorted,100,34274.626
BubbleSortPassPerItem,DummyLargeObject,reverse,100,50801.616
BubbleSortUntilNoChange,DummyLargeObject,random,100,68067.314
BubbleSortUntilNoChange,DummyLargeObject,sorted,100,488.29
BubbleSortUntilNoChange,DummyLargeObject,reverse,100,65862.519
BubbleSortWhileNeeded,DummyLargeObject,random,100,40551.16
BubbleSortWhileNeeded,DummyLargeObject,sorted,100,490.679
BubbleSortWhileNeeded,DummyLargeObject,reverse,100,36831.634
BubbleSortPassPerItem,DummyLargeObject,random,1000,6255848.296
BubbleSortPassPerItem,DummyLargeObject,sorted,1000,4650670.771
BubbleSortPassPerItem,DummyLargeObject,reverse,1000,5389005.717
BubbleSortUntilNoChange,DummyLargeObject,random,1000,7585492.729
BubbleSortUntilNoChange,DummyLargeObject,sorted,1000,6277.102
BubbleSortUntilNoChange,DummyLargeObject,reverse,1000,6785051.025
BubbleSortWhileNeeded,DummyLargeObject,random,1000,4590112.799
BubbleSortWhileNeeded,DummyLargeObject,sorted,1000,6027.062
BubbleSortWhileNeeded,DummyLargeObject,reverse,1000,3690680.19
BubbleSortPassPerItem,DummyLargeObject,random,10000,8.18064457797E8
BubbleSortPassPerItem,DummyLargeObject,sorted,10000,4.83533012982E8
BubbleSortPassPerItem,DummyLargeObject,reverse,10000,6.00181796055E8
BubbleSortUntilNoChange,DummyLargeObject,random,10000,8.46524384266E8
BubbleSortUntilNoChange,DummyLargeObject,sorted,10000,67730.351
BubbleSortUntilNoChange,DummyLargeObject,reverse,10000,7.35114957064E8
BubbleSortWhileNeeded,DummyLargeObject,random,10000,5.18363107376E8
BubbleSortWhileNeeded,DummyLargeObject,sorted,10000,66351.505
BubbleSortWhileNeeded,DummyLargeObject,reverse,10000,4.19882800599E8
