Algorithm,Type,Array,Size,Time
BubbleSortPassPerItem,Integer,random,10,16446.28
BubbleSortPassPerItem,Integer,sorted,10,1252.87
BubbleSortPassPerItem,Integer,reverse,10,3449.22
BubbleSortUntilNoChange,Integer,random,10,7154.72
BubbleSortUntilNoChange,Integer,sorted,10,1166.32
BubbleSortUntilNoChange,Integer,reverse,10,3299.26
BubbleSortWhileNeeded,Integer,random,10,4600.47
BubbleSortWhileNeeded,Integer,sorted,10,1280.68
BubbleSortWhileNeeded,Integer,reverse,10,3039.43
BubbleSortPassPerItem,Integer,random,100,493929.76
BubbleSortPassPerItem,Integer,sorted,100,49136.5
BubbleSortPassPerItem,Integer,reverse,100,45736.17
BubbleSortUntilNoChange,Integer,random,100,182168.81
BubbleSortUntilNoChange,Integer,sorted,100,5654.56
BubbleSortUntilNoChange,Integer,reverse,100,54048.19
BubbleSortWhileNeeded,Integer,random,100,79261.68
BubbleSortWhileNeeded,Integer,sorted,100,1603.1
BubbleSortWhileNeeded,Integer,reverse,100,108828.24
BubbleSortPassPerItem,Integer,random,1000,4290178.79
BubbleSortPassPerItem,Integer,sorted,1000,2619004.93
BubbleSortPassPerItem,Integer,reverse,1000,4086167.46
BubbleSortUntilNoChange,Integer,random,1000,4559168.1
BubbleSortUntilNoChange,Integer,sorted,1000,3714.67
BubbleSortUntilNoChange,Integer,reverse,1000,4196923.67
BubbleSortWhileNeeded,Integer,random,1000,3244307.64
BubbleSortWhileNeeded,Integer,sorted,1000,3397.34
BubbleSortWhileNeeded,Integer,reverse,1000,3179994.7
BubbleSortPassPerItem,Integer,random,10000,4.2335415296E8
BubbleSortPassPerItem,Integer,sorted,10000,2.9328906524E8
BubbleSortPassPerItem,Integer,reverse,10000,4.2248363218E8
BubbleSortUntilNoChange,Integer,random,10000,4.4820531041E8
BubbleSortUntilNoChange,Integer,sorted,10000,27073.7
BubbleSortUntilNoChange,Integer,reverse,10000,4.5386771526E8
BubbleSortWhileNeeded,Integer,random,10000,3.0445893421E8
BubbleSortWhileNeeded,Integer,sorted,10000,27972.36
BubbleSortWhileNeeded,Integer,reverse,10000,3.0697035935E8
BubbleSortPassPerItem,String,random,10,9903.8
BubbleSortPassPerItem,String,sorted,10,5523.31
BubbleSortPassPerItem,String,reverse,10,6823.46
BubbleSortUntilNoChange,String,random,10,5547.85
BubbleSortUntilNoChange,String,sorted,10,673.27
BubbleSortUntilNoChange,String,reverse,10,7122.09
BubbleSortWhileNeeded,String,random,10,3265.34
BubbleSortWhileNeeded,String,sorted,10,642.08
BubbleSortWhileNeeded,String,reverse,10,4166.38
BubbleSortPassPerItem,String,random,100,71708.52
BubbleSortPassPerItem,String,sorted,100,47911.23
BubbleSortPassPerItem,String,reverse,100,67265.23
BubbleSortUntilNoChange,String,random,100,68591.87
BubbleSortUntilNoChange,String,sorted,100,292.56
BubbleSortUntilNoChange,String,reverse,100,64707.8
BubbleSortWhileNeeded,String,random,100,40450.49
BubbleSortWhileNeeded,String,sorted,100,907.1
BubbleSortWhileNeeded,String,reverse,100,39860.12
BubbleSortPassPerItem,String,random,1000,8063874.71
BubbleSortPassPerItem,String,sorted,1000,6632984.05
BubbleSortPassPerItem,String,reverse,1000,7460081.91
BubbleSortUntilNoChange,String,random,1000,8323918.59
BubbleSortUntilNoChange,String,sorted,1000,10246.54
BubbleSortUntilNoChange,String,reverse,1000,6849502.86
BubbleSortWhileNeeded,String,random,1000,5176713.88
BubbleSortWhileNeeded,String,sorted,1000,9865.24
BubbleSortWhileNeeded,String,reverse,1000,3751295.13
BubbleSortPassPerItem,String,random,10000,1.25381807363E9
BubbleSortPassPerItem,String,sorted,10000,1.21625160677E9
BubbleSortPassPerItem,String,reverse,10000,1.13237882565E9
BubbleSortUntilNoChange,String,random,10000,1.30415146914E9
BubbleSortUntilNoChange,String,sorted,10000,126704.97
BubbleSortUntilNoChange,String,reverse,10000,1.0766693912E9
BubbleSortWhileNeeded,String,random,10000,6.8473637636E8
BubbleSortWhileNeeded,String,sorted,10000,132279.85
BubbleSortWhileNeeded,String,reverse,10000,4.9054591755E8
